fipscode,last,party,votepct
26129,Biden,Dem,0.291845
26131,Biden,Dem,0.365668
26133,Biden,Dem,0.260686
26135,Biden,Dem,0.275339
26137,Biden,Dem,0.321429
26139,Biden,Dem,0.383717
26141,Biden,Dem,0.348957
26143,Biden,Dem,0.343987
26145,Biden,Dem,0.494335
26147,Biden,Dem,0.340669
26149,Biden,Dem,0.331555
26151,Biden,Dem,0.265793
26153,Biden,Dem,0.334879
26155,Biden,Dem,0.391305
26157,Biden,Dem,0.295904
26159,Biden,Dem,0.430151
26161,Biden,Dem,0.72654
26163,Biden,Dem,0.684527
26165,Biden,Dem,0.319628
27001,Biden,Dem,0.36034
27003,Biden,Dem,0.479322
27005,Biden,Dem,0.340376
27007,Biden,Dem,0.473499
27009,Biden,Dem,0.327662
27011,Biden,Dem,0.354545
27013,Biden,Dem,0.509605
27015,Biden,Dem,0.325659
27017,Biden,Dem,0.496949
27019,Biden,Dem,0.465419
27021,Biden,Dem,0.347412
27023,Biden,Dem,0.337324
27025,Biden,Dem,0.342233
27027,Biden,Dem,0.508961
27029,Biden,Dem,0.268142
27031,Biden,Dem,0.659445
27033,Biden,Dem,0.300804
27035,Biden,Dem,0.342525
27037,Biden,Dem,0.559391
27039,Biden,Dem,0.335527
27041,Biden,Dem,0.326202
27043,Biden,Dem,0.320705
27045,Biden,Dem,0.375991
27047,Biden,Dem,0.410279
27049,Biden,Dem,0.413274
27051,Biden,Dem,0.356164
27053,Biden,Dem,0.707164
27055,Biden,Dem,0.424993
27057,Biden,Dem,0.345169
27059,Biden,Dem,0.295423
27061,Biden,Dem,0.40685
27063,Biden,Dem,0.300189
27065,Biden,Dem,0.300737
27067,Biden,Dem,0.36203
27069,Biden,Dem,0.38251
27071,Biden,Dem,0.385083
27073,Biden,Dem,0.358542
27075,Biden,Dem,0.507727
27077,Biden,Dem,0.279002
27079,Biden,Dem,0.338102
27081,Biden,Dem,0.301093
27083,Biden,Dem,0.36023
27085,Biden,Dem,0.307018
27087,Biden,Dem,0.483058
